名称,处方,步骤,功效,用法用量,来源,药材
龙蟠饮,人参、当归、枳壳、白豆蔻、丁香、木香、官桂、青皮、半夏、山楂、三棱、蚕砂、厚朴。,,小儿心中刺痛未愈，而痘随出，多因气逆或寒积所致。,上用生姜、酒煎服。,《准绳·幼科》卷四,人参/当归/枳壳/白豆蔻/丁香/木香/官桂/青皮/半夏/山楂/三棱/蚕砂/厚朴
龙蜕饼子,蛇蜕1条（用麻油点灯，烧存性）。,上为细末，以砂糖拌为饼子。,小儿痘疮，余毒上攻咽喉，语声不出。,嚼下。嚼下。,《续易简方》卷五,蛇蜕
龙蜕散,蝉退1两（烧存性），大蛇蜕（火烧存性）1条，滑石半两，葵子1两（微炒）。,上为末。,催生。主,催生龙蜕散（《明医指掌》卷九）。催生龙蜕散（《明医指掌》卷九）。,《得效》卷十四,蝉退/大蛇蜕/滑石/葵子
龙蛤散,龙胆草（去芦）、蛤粉各等分。,上为细末。,疮疹入眼，初觉肿痛者。,每服2钱，獖猪肝半两，薄批，掺药在中，以线缠定，用米泔于银石沙铫内炭火慢慢煮，至肝熟为度，食后少顷食之，以汁送下，日3次。须先以清凉饮子利动，再以此方与兔肝丸同服。,《卫生总微》卷八,龙胆草/蛤粉
龙蛇散,地龙250克，蜂房60克，全虫20克，白花蛇4-6条，乌梢蛇60克。,上药入罐子内，盐泥固济，烧存性，为细末。,驱风胜湿，祛瘀通络。主风湿瘀滞经络。,将上药烘干，共研细末，过筛后装入胶囊，每次服4-6粒，日服3次。蛇蜕皮。,李志铭方,地龙/蜂房/全虫/白花蛇/乌梢蛇
龙蛇换骨丹,生草鸟半斤（去皮尖，切片），生姜半斤（切片）。,共入锅内，焙炒干，为细末，加麝2分，加白荆皮研末，与前药等分平对。,半身不遂，风瘫骨痛，麻痒不仁。,每服6分，酒调下。如伤风寒，不对白荆皮末，每服3分，俱卧时酒调下。忌风取汗为度。,《虺后方》,生草鸟/生姜
龙蚝理痰汤,清半夏4钱，生龙骨6钱（捣细），生牡蛎6钱（捣细），生赭石3钱（轧细），朴消2钱，黑脂麻3钱（炒，捣），柏子仁3钱（炒，捣），生杭芍3钱，陈皮2钱，茯苓2钱。,,因思虑生痰，因痰生热，神志不宁。,,《衷中参西》上册,清半夏/生龙骨/生牡蛎/生赭石/朴消/黑脂麻/柏子仁/生杭芍/陈皮/茯苓
龙虎饮,鹿茸（酒浸，酥炙）2两，附子（炮，去皮脐）2两，人参（去芦）半两，萆薢半两，金钗石斛（酒浸）半两，杜仲（去皮，锉，姜汁制，炒去丝）半两，肉苁蓉（酒浸，去皱皮）半两，木瓜半两，当归（去芦，酒浸）半两，黄耆（蜜水炙）半两。,,壮筋益血。主虚劳脚弱。,上(口父)咀。每服3钱，水1盏半，加生姜3片，枣子1枚，煎7分，去滓，食前服。,《魏氏家藏方》卷四,鹿茸/附子/人参/萆薢/金钗石斛/杜仲/肉苁蓉/木瓜/当归/黄耆
龙虎膏,龙骨2两，虎骨3两（涂酥，焙），当归（切，焙）1两，桂（去粗皮）1两，皂荚半斤（肥者，去子）。,上为末，先别用好皂荚10挺，以苦酒3升，挼取汁，去滓，入铛中煎减半，即入前药同煎如稀饧，入瓷合盛。,风湿着痹，肌肉(疒帬)厚，不知痛痒。,每用少许，揩摩(疒帬)痹处。,《圣济总录》卷十九,龙骨/虎骨/当归/桂/皂荚
龙虎续断丸,地龙（醋水养，去泥）7钱5分（用火焙干），虎前脚骨1两（酒炙），续断1两（酒浸1宿），萆薢1两，乳香5钱，穿山甲（炙）5钱，没药（炙）2钱5分，茴香1两，狗脊1两，当归1两，砂仁1两（炒），鹿茸（炙）1两，杜仲2两，青盐（去土）7钱5分，菟丝4两。,上为末，酒打米粉糊为丸，如梧桐子大。,壮筋骨，通经络，活血助肾。主少年色欲过度，中年不复保养，肾损腰痛难舒。,龙骨续断丸（《全国中药成药处方集》沈阳方）。龙骨续断丸（《全国中药成药处方集》沈阳方）。,《惠直堂方》卷二,地龙/虎前脚骨/续断/萆薢/乳香/穿山甲/没药/茴香/狗脊/当归/砂仁/鹿茸/杜仲/青盐/菟丝
龙虎济阴丹,黄柏半斤，知母3两，龟版4两，熟地2两，陈皮2两，白芍2两，锁阳1两半，虎骨1两，龙骨5钱。,上为末，蜜和猪脊髓为丸，如梧桐子大。,遗精。,每服50-60丸，空心盐汤送下，干物压之。冬，加干姜5钱。,《医学入门》卷七,黄柏/知母/龟版/熟地/陈皮/白芍/锁阳/虎骨/龙骨
龙虎汤,鹿茸1两（去毛，酒浸，炙），附子2两（炮，去皮脐），黄耆（盐水浸，炙）1两，茯神（去木）1两，肉苁蓉（酒浸，去皱皮）1两，白术（炒）1两。,上为粗末。,调荣卫。主虚劳寒热。,"每服3钱,水1盏半，煎至7分，去滓，食前服。",《魏氏家藏方》卷四,鹿茸/附子/黄耆/茯神/肉苁蓉/白术
龙虎止疳散,屋上白猫屎、煨石膏各等分。,上为末，加入蛔虫1条（炙灰），冰片少许，共为极细末。,痘后牙疳，极凶危者，及走马牙疳。,吹之，再服清火解毒之剂。,《外科方外奇方》卷四,白猫屎/煨石膏
龙虎散,明雄黄5钱，土贝母4钱，蓖麻仁（去油）4钱，木鳖仁4钱，大蜈蚣10条，蟾酥3钱，大全蝎7个，大山甲7片，僵蚕7条，露蜂房（有子者佳）3钱，大蜘蛛（腿脚要全）3个，凤仙子24粒，朱砂2钱，轻粉2钱，制乳香2钱，制没药2钱，炒铅粉2钱，炒黄丹2钱，寒水石2钱，磁石2钱，硼砂2钱，漂铜绿2钱，牙皂2钱，母丁香2钱，樟脑2钱，黄蜡2钱，白蜡2钱，延胡2钱，白芷2钱，决明2钱，枯矾5分（研），草乌2钱，南星2钱，蝉蜕1钱，蛇蜕1钱。,共为末。,能消、能溃、能提、能敛。主肿毒。,掺贴。症重，多加犀黄、麝、冰和糁；已长新肉，加桃花散，黄丹、石膏，共研末和掺，免痛。,《理瀹》,明雄黄/土贝母/蓖麻仁/木鳖仁/大蜈蚣/蟾酥/大全蝎/大山甲/僵蚕/露蜂房/大蜘蛛/凤仙子/朱砂/轻粉/制乳香/制没药/炒铅粉/炒黄丹/寒水石/磁石/硼砂/漂铜绿/牙皂/母丁香/樟脑/黄蜡/白蜡/延胡/白芷/决明/枯矾/草乌/南星/蝉蜕/蛇蜕
龙虎救生丹,水银半两，硫黄1两（2味同研细，至无星为度），丁香半两，半夏曲1两，人参（去芦）1分，天南星半两（炮），白附子1分（炮裂）。,上为末，生姜汁煮糊为丸，如萝卜子大。,一切吐逆不下食，及妊娠恶阻。,每服10-20丸，煎藿香汤送下；伏热吐者，煎莲子心汤送下。,《卫生总微》卷十,水银/硫黄/丁香/半夏曲/人参/天南星/白附子
龙虎小还丹,鹿角胶4两，虎掌4两（酒炙，虎胫尤妙），川萆薢4两（酒洗），肉苁蓉4两，熟地8两（牛膝3两拌蒸），金钗石斛1斤，川续断4两，破故纸4两（研碎，拌胡桃肉蒸，炒），龟版4两（酥炙），茯苓4两（人乳拌蒸），山萸肉4两，山药4两，天冬（去心）3两，巴戟肉3两，沉香5钱，枸杞6两。,上为末，将石斛用酒、水煎膏，入鹿角胶调化，加神曲6两，为糊为丸，如梧桐子大。,种子延年。主一切手足拘挛，血气凝滞，阳事不举，齿豁目昏，心神散乱。,每服100丸，早晚淡盐汤或酒送下。如精薄，加龟胶4两；如男妇同服，加当归4两。,《惠直堂方》卷一,鹿角胶/虎掌/川萆薢/肉苁蓉/熟地/金钗石斛/川续断/破故纸/龟版/茯苓/山萸肉/山药/天冬/巴戟肉/沉香/枸杞
龙虎寿生丹,全蝎（去毒，炒）14个，天麻（爆）2钱，僵蚕1钱（去嘴，炒），辰砂1钱（水飞），胆南星1钱，白附子1钱（炮），白花蛇肉（酒浸，去骨）1钱，防风2钱，代赭石半钱（醋煅7次），铁华粉半钱，龙脑1字，麝香1字。,上为细末，炼蜜为丸，如芡实大，金箔为衣。,小儿急慢惊风。,用簿荷煎汤研化，不拘时候服。,《医统》卷八十八,全蝎/天麻/僵蚕/辰砂/胆南星/白附子/白花蛇肉/防风/代赭石/铁华粉/龙脑/麝香
龙虎如意丹,硇砂3钱，朱砂4钱，麝香1钱，雄精1钱，冰片2钱，蟾酥4钱，白降丹2钱，五倍子4钱，玄参3钱，乳香4钱（去油），没药4钱（去油），雌黄4钱，前胡3钱，胆矾3钱，轻粉5钱，寒水石3钱，明矾3钱，紫草5钱。,上为末。,拔毒除腐。主痈疽发背，对口脑疽，无名肿毒，湿痰流注，附骨疽。,外用。,《青囊秘传》,硇砂/朱砂/麝香/雄精/冰片/蟾酥/白降丹/五倍子/玄参/乳香/没药/雌黄/前胡/胆矾/轻粉/寒水石/明矾/紫草
龙虎双降散,大黄6两，天花粉6两，元参10两，麦冬5两（去心），滑石5两，银柴胡2两，荆芥2两，丹参2两，白芍3两，石膏3两。,上为净末，和匀。,时行瘟疫，失心癫狂，一切火热蕴结重症。,每服8钱，地浆煎服。,《古方汇精》卷一,大黄/天花粉/元参/麦冬/滑石/银柴胡/荆芥/丹参/白芍/石膏
龙虎卫生膏,当归1两，黄连2两，黄耆1两，黄芩1两，枳壳1两，乌药1两，大风子1两，防风2两，草乌2两，血余2两，青藤1两5钱，木通1两5钱，木鳖子1两5钱，苦参1两5钱，香附子，桑皮1两5钱（上为粗片，入麻油2斤，炒焦枯，滤去药片，入后药），松香4两，虎骨（酥炙为末）2两，龙骨1两5钱，朱砂2钱，赤石脂1两5钱，蜜陀僧2两5钱。,上为细末，入油内，再加黄蜡3两，人油内搅匀，又加乳香、没药、轻粉末各5钱，孩儿茶末1两，再搅，慢火熬至滴水成珠为度，取起摊膏。,一切恶疮，顽癣，痔漏多年，病久不能料理者。,贴之。,《遵生八笺》卷十八,当归/黄连/黄耆/黄芩/枳壳/乌药/大风子/防风/草乌/血余/青藤/木通/木鳖子/苦参/香附子/桑皮/松香/虎骨/龙骨/朱砂/赤石脂/蜜陀僧
龙虎化毒丹,西牛黄1两6钱5分，珍珠粉1两6钱5分，当门子1两8钱5分，梅冰片2两4钱1分，银消4两5钱，飞腰黄10两7钱，飞月石4两6钱3分，炉甘石5两6钱。,先用斑蝥念4只，去头足，童便14两，浸3日，取出斑蝥，将腰黄浸7日，然后风干，先研腰黄，次和甘石，渐次加入诸药，研和极匀极细为度。,清血解毒。主疯犬、毒蛇咬伤，及伤寒中风，疮疡惊风，诸种危急痧症。,疯狗毒蛇咬者，点二眼角及舌尖上，宜连点7日，兼敷伤处，并内服半分，重则连服数日；伤寒中风，昏迷惊风，痰厥急症，皆点舌上，并内服半分；危急痧症，点舌并吹鼻孔。孕妇酌用，不宜吞服。,《全国中药成药处方集》（杭州方）,西牛黄/珍珠粉/当门子/梅冰片/银消/飞腰黄/飞月石/炉甘石
龙虎二汁饮,青橄榄肉、生萝卜、白萝卜各等分。,二味取自然汁。,疫喉乍起，已破未破者。,隔水顿温，频饮，或漱喉亦可。,《疫喉浅论》卷下,青橄榄肉/生萝卜/白萝卜
龙虎二仙汤,龙胆草2钱，大生地1两，生石膏1两，川黄连3钱，真犀角8钱，黑栀仁3钱，板蓝根4钱，鼠粘子4钱，知母4钱，僵蚕5钱，木通4钱，元参4钱，甘草1钱，黄芩5钱，马勃4钱（用绢包煎），大青叶5钱。,,白喉极险者。,龙虎二仙丹（《喉证指南》卷四）。,《时疫白喉捷要》,龙胆草/大生地/生石膏/川黄连/真犀角/黑栀仁/板蓝根/鼠粘子/知母/僵蚕/木通/元参/甘草/黄芩/马勃/大青叶
龙虎丹,黑牵牛、藿香叶（生）、天麻（去苗）、牛膝（去苗.酒浸.切.焙.微炒）、硫黄（结沙）、天竺黄（生研）、细辛（去苗.洗）、半夏（汤洗七次.生姜汁制）、附子（炮.去皮.脐）、何首乌（去粗皮）、羌活（去苗.洗.焙）、独活（去苗）、柴胡（去苗）、川芎（洗）、桔梗（生），各二两。寒水石（烧通赤.研.飞）一斤，茴香（淘.去土.焙）、甘松（洗去土.焙）、肉桂（去粗皮）、五灵脂（生）、白芷（生）、菊花（去土）、川乌（炮.去皮.脐）、白僵蚕（去丝.嘴.炒）、缩砂仁（生），各五两。牙硝（研）、木香（生）、水银（与硫黄用慢火结成沙子）、雄黄（研.飞）、麝香（研），各一两。地龙（去土）、白乾姜（炮），朱砂（研.飞）、白蒺藜（炮）、防风（去苗），各三两。乌蛇（酒浸.炙.去皮.骨）八两，龙脑（研）半两。,上为细末，炼蜜为丸，如芡实大。,治丈夫、妇人新得、久患急、缓风，半身不遂，手脚筋衰；及风毒攻注，遍身疮疥，头风多饶白屑，毒风面上生疮，刺风状如针刺，风急倒作声，顽风不认痛痒，倁风颈生斑驳，暗风头旋眼黑，卂风面生赤点，肝风鼻闷眼俽瞩，偏风口眼斜，节风肢节断续，脾风心多呕逆，酒风行步不前，肺风鼻塞项疼，胆风令人不睡，气风肉似虫行，肾风耳内蝉鸣，阴间湿痒。,每服一圆，用薄荷酒嚼下。日进一服，重即两服。产后惊风，乱道见物，朱砂酒磨下；产后身多虚肿，血风，频增昏沉，身如针刺，发随梳落，面黄心逆，并煎当归酒嚼下，日进两服；若治伤寒，炒葱、豉，酒嚼下一、二服，盖覆出汗立愈；小儿惊风，薄荷酒化下少许；大人急风，口噤失音等，薄荷酒化灌之，常服茶、酒任下，不拘时候服。,《宋·太平惠民和剂局方》,黑牵牛/藿香叶/天麻/牛膝/硫黄/天竺黄/细辛/半夏/附子/何首乌/羌活/独活/柴胡/川芎/桔梗/寒水石/茴香/甘松/肉桂/五灵脂/白芷/菊花/川乌/白僵蚕/缩砂仁/牙硝/木香/水银/雄黄/麝香/地龙/白乾姜/朱砂/白蒺藜/防风/乌蛇/龙脑
龙虎丸,白芍 陈皮各60克 锁阳 当归各45克 虎骨（酒浸，酥炙）30克 知母（酒炒）熟地黄各90克 黄柏240克（盐炒）龟版120克（酒浸，酥炙）,上为末，酒煮羊肉捣汁为丸。,补肾壮骨，滋防养血。治痿证。,每次6～9克，温开水送下，一日二次。冬日加干姜。,《丹溪心法》卷三,白芍/陈皮/锁阳/当归/虎骨/知母/熟地黄/黄柏/龟版
龙葵膏,龙葵根半两，莨菪子半两，胡燕窠半两，独颗蒜半两，胡荽子半两，鼠粪半两，杏仁半两（汤浸，去皮尖双仁，麸炒微黄），豉半两。,用酱饭相和烂捣。,恶刺。,醋调封之，每日1换。经5次愈。,《圣惠》卷六十八,龙葵根/莨菪子/胡燕窠/独颗蒜/胡荽子/鼠粪/杏仁/豉
龙葵根散,龙葵根（锉）1两，麝香（研）1分。,,发背成疮。,先将龙葵根捣罗为末，入麝香同研令匀，水调涂于疮上。,《圣济总录》卷一三一,龙葵根/麝香
龙葵散,龙葵（俗名天茄子）1两，景天（俗名慎火草）1两，黄连（去须）1两，天灵盖1两，龙骨半两，乳香半两，木鳖子半两，黄蜀葵花半两。,上为散。,诸恶疮，多出脓水不干者。,看疮大小，入腻粉少许，蜜调，摊纸上贴之。,《圣济总录》卷一三二,龙葵/景天/黄连/天灵盖/龙骨/乳香/木鳖子/黄蜀葵花
龙葱散,韭菜地中蚯蚓粪2钱，葱子1钱。,上为细末。,乳吹。,醋调敷上，干即易之。3次即愈。,《洞天奥旨》卷十五,蚯蚓粪/葱子
龙莲芡实丸,龙骨 莲须 芡实 乌梅肉各等分,上药研末。用山药煮糊为丸，如小豆大。,治肾元亏损，精关不固，滑遗不禁。,每服30丸，空腹时米饮下。本方在原书中无方名，现据《医学实在易》卷七补。,《种福堂公选良方》卷二,龙骨/莲须/芡实/乌梅肉
龙荟锭,柴胡1两，龙胆草1两，黄芩1两，青皮1两，胆星1两，芦荟1两，黄连1两，青黛1两，大黄1两，木通1两，菖蒲1两，皂角1两，细辛1两，全蝎3个，陈小粉（炒黑）5两。,上为末，以青鱼胆汁1杯，和姜汁、竹沥为锭。,耳鸣耳聋，并治耳痛及一切肝火。,临用醋磨敷耳1周。有脓日久不干者，加枯矾、雄黄、轻粉、海螵蛸末。,《理瀹》,柴胡/龙胆草/黄芩/青皮/胆星/芦荟/黄连/青黛/大黄/木通/菖蒲/皂角/细辛/全蝎/陈小粉
龙荟丸,柴胡 甘草 青皮 黄连 大黄 当归 木香 草龙胆 芦荟 川芎,制为丸剂。,治食积发热，胁痛。,每服3～6克，温开水送下。,《脉因证治》卷上,柴胡/甘草/青皮/黄连/大黄/当归/木香/草龙胆/芦荟/川芎
龙芽一醉饮,龙芽草（5月5日端午采收，阴干）。,,疔疮。,将好酒浸，捣取汁。量加乳香、没药、绿豆粉，入汁内同饮，将滓敷疮上。,《回春》卷八,龙芽草
龙花蕊散,龙花蕊2两（出安南者），川升麻1两，郁李根1两（切），生干地黄1两，地骨皮1两，白蒺藜1两，杏仁（汤浸，去皮尖双仁，麸炒微黄）1两，细辛半两，龙脑半钱（细研），麝香半钱（细研）。,上为细散，入研了药令匀。,齿黄黑。,每欲贴时，先以柳枝净揩齿，以新汲水漱口，更以盐花于齿龈内外揩之，有涎即吐却，不要漱口，便取白薄纸剪作片子，阔如薤叶，以水蘸纸，掺药末少许，贴齿龈上，便闭口勿语，有药汁咽之。,《圣惠》卷三十四,龙花蕊/川升麻/郁李根/生干地黄/地骨皮/白蒺藜/杏仁/细辛/龙脑/麝香
龙腾饮,芎藭1钱，黄芩1钱，黄连1钱，大黄5分。,,妊娠盛怒而气暴逆，吐血衄血，或突然胸痛者。,上以麻沸汤1合渍之，须臾绞去滓，顿服。,《产论》卷一,芎藭/黄芩/黄连/大黄
龙脑黄连膏,黄连250克 冰片3克,先锉黄连令碎，以水750毫升，于瓷器中用文武火熬成150毫升，滤去滓，放薄瓷碗内；重汤炖成膏，约100毫升。,泻火明目。治目中赤脉，有灼热感，眼眶破烂，畏日羞明，眵多眊躁。,临用加冰片少许，点入眼内，不拘时。,《原机启微》卷下,黄连/冰片
龙脑麝香锭子,龙脑3钱，麝香2钱，轻粉半钱，粉霜3钱，雄黄半钱，乳香1钱，雌黄半钱，巴豆14个（去皮尖）。,上为细末，干饭为丸，如小麦大。,追毒回疮，止痛生肌。主,纴在疮上。贴治疳疮，研纴在疮内。忌冷水。,《普济方》卷二八三,龙脑/麝香/轻粉/粉霜/雄黄/乳香/雌黄/巴豆
龙脑鸡苏圆,柴胡（要真银州者）二两（同木通以沸汤大半升浸一、二宿，绞汁后入膏），木通（同柴胡浸）、阿胶（炒微燥）、蒲黄（真者.微炒）、人参，各二两；麦门冬（汤洗.去心.焙研）四两，黄蓍（去芦）一两，鸡苏（净叶）一斤（即龙脑薄荷也），甘草（炙）一两半，生干地黄末（六两.后入膏）。,,除烦解劳，消谷下气，散胸中郁热，主肺热咳嗽，治鼻衄吐血，血崩下血，血淋、热淋、劳淋、气淋，止消渴，除惊悸，凉上膈，解酒毒。又治胃热口臭，肺热喉腥，脾疸口甜，胆疸口苦。常服聪耳明目，开心益智。,每服二十圆，嚼破热水下，不嚼亦得。虚劳烦热，消渴惊悸，煎人参汤下。咳嗽唾血，鼻衄吐血，将麦门冬汤浸去心，煎汤下，并食后、临卧服之。,《宋·太平惠民和剂局方》,柴胡/木通/阿胶/蒲黄/人参/麦门冬/黄蓍/鸡苏/甘草/生干地黄
龙脑鸡苏丸,柴胡（要真银川者）60克（锉，同木通以沸汤100毫升浸一二宿，绞汁后入膏）木通（锉，同柴胡浸）阿胶（炒微燥）蒲黄（真者，微炒）人参各60克 麦门冬（汤洗，去心，焙干）120克 黄耆（去芦）30克 鸡苏（净叶）500克 甘草（炙）45克 生干地黄末（后入膏）180克,上除别研药后入外，并捣罗为细末，将好蜜1千克先炼一二沸，然后下生干地黄末，不住手搅，时时入绞下前木通、柴胡汁，慢慢熬成膏，勿令焦，然后将其余药末同和为丸，如豌豆大。,治肺热咳嗽，鼻衄吐血，血崩下血，血淋、热淋、劳淋、气淋，胃热口臭，肺热喉腥，脾疽口甜，胆疸口苦。,每服20丸，嚼破热水下，不嚼亦得。虚劳烦热，消渴惊悸，煎人参汤下；咳嗽唾血，鼻衄吐血，将麦门冬（汤浸去心），煎汤下，并食后、临卧服之。惟血崩下血，诸淋疾，皆空腹时服。治淋用车前子汤下。,《太平惠民和剂局方》卷六,柴胡/麦门冬/黄耆/鸡苏/甘草/生干地黄
龙脑饮子,缩砂仁、瓜蒌根，各三两；藿香叶二两四钱，石膏四两，甘草（蜜炒）十六两，大栀子仁（微炒）十二两。,上为末。,治大人、小儿蕴积邪热、咽喉肿痛，赤眼口疮，心烦鼻衄，咽干多渴，睡卧不宁，及除痰热咳嗽，中暑烦躁，一切风壅，并宜服之。,每服一钱至二钱，用新水入蜜调下。又治伤寒馀毒，潮热虚汗，用药二钱，水一盏，入竹叶五、六片，煎至七分，温服，并食后服。,《宋·太平惠民和剂局方》,缩砂仁/瓜蒌根/藿香叶/石膏/甘草/大栀子仁
麻黄黄芩汤,麻黄（去节）1两，黄芩半两，赤芍半两，甘草（炙）1分，桂枝（去皮）1分。,上为细末。,小儿伤寒，头痛，身壮热无汗，鼻塞目涩，小便清。,每服2钱，暖水调服，每日3次。,《活人书》卷二十,麻黄/黄芩/赤芍/甘草/桂枝
麻黄饮子,麻黄1两（去根节），牡蛎粉1两，蜀漆半两，甘草半两，犀角屑半两，知母半两。,上锉细。,温疟烦闷。,以水2大盏，煎至1盏半，去滓，分为3服，1日服尽。,《圣惠》卷五十二,麻黄/牡蛎粉/蜀漆/甘草/犀角屑/知母
麻黄附子甘草汤,麻黄6克（去节）甘草6克（炙）附子3克（炮）,,助阳发汗。治少阴病，恶寒身疼，无汗，微发热，脉沉微者。,上三味，用水700毫升，先煮麻黄一二沸，去上沫，纳诸药，煮取300毫升，去滓，分二次温服。,《伤寒论》,麻黄/甘草/附子
麻黄附子汤,麻黄9克 甘草6克 附子3克（炮）,,散寒温阳，利水消肿。治肾阳不足，身面浮肿，气短，小便不利，脉沉小。,上三味，用水700毫升，先煮麻黄，去上沫，纳诸药，煮取300毫升，分二次温服。麻黄3两，甘草2两，附子1枚（炮）。,《金匮要略》卷中,麻黄/甘草/附子
麻黄钩藤散,钩藤、柴胡、半夏、甘草、菊花、枳壳、麻黄、石膏、葛根。,,肝厥如痫疾不醒，呕吐眩晕者。,,《证治宝鉴》卷十一,钩藤/柴胡/半夏/甘草/菊花/枳壳/麻黄/石膏/葛根
麻黄醇酒汤,麻黄1把。,,发汗。主大汗出入水，而致黄汗，身体四肢微肿，胸满不得汗，汗出如黄柏汁。伤寒热出，表发黄疸。,麻黄酒（《得效》卷三）。,方出《肘后方》卷四，名见《千金》卷十,麻黄
麻黄酒,麻黄、木鳖、杏仁、大黄各等分。,,诸风左瘫右痪，历节走注疼痛。,上以好酒1斗，煎取1升，浸别酒频服。,《普济方》卷九十三引《鲍氏方》,麻黄/木鳖/杏仁/大黄
麻黄透肌汤,升麻、羌活、白芷、麻黄、大腹皮、焦山楂、蝉蜕、防风、桔梗、干姜、紫苏叶、枳壳。,,反关痘。,上加葱白7枚、笋尖3个、地龙4-5条，水煎服。,《幼科金针》卷下,升麻/羌活/白芷/麻黄/大腹皮/焦山楂/蝉蜕/防风/桔梗/干姜/紫苏叶/枳壳
麻黄连轺赤小豆汤,麻黄6克（去节）连轺6克（即连翘根）杏仁6克 赤小豆10克 大枣12枚（擘）生梓白皮（切）10克 生姜6克 甘草6克（炙）,上锉如麻豆大。,解表发汗，清热利湿。治阳黄兼表证。发热恶寒，无汗身痒，周身黄染如橘色，脉浮滑。,上八味，以水1升，先煮麻黄，去上沫，纳诸药，煮取300毫升，去滓，分二次温服。方中麻黄、杏仁、生姜辛散表邪，宣发郁热；连轺、生梓白皮、赤小豆清泄湿热；大枣、甘草调和脾胃。诸药合用，使表里宣通，湿热得以清泄，表解里和而黄疽可愈。,《伤寒论》,麻黄/赤小豆/大枣/生姜/甘草
麻黄连翘小豆汤合胡煎方,麻黄3克，连翘9克，赤小豆12克，胡麻仁30克，何首乌9克，苦参6克，石菖蒲6克，甘草4.5克。,,疏风清热，活血通经。主沐浴当风，邪客经络，气血阻痹，而致风疹缠绵。,水煎服，每日1次，日服2次。,何任方,麻黄/连翘/赤小豆/胡麻仁/何首乌/苦参/石菖蒲/甘草
麻黄赤芍汤,麻黄 赤芍各3克 防风 荆芥 羌活 独活 白芷 苍术 威灵仙 片芩 枳实 桔梗 葛根 川芎各1.5克 甘草 归尾 升麻各0.9克,,治温热流注，肢节肿痛。,水煎服。,《医学入门》卷七,麻黄/赤芍/防风/荆芥/羌活/独活/白芷/苍术/威灵仙/片芩/枳实/桔梗/葛根/川芎/甘草/归尾/升麻
麻黄豆蔻丸,木香 青皮 红花 厚朴各0、6克 苏木0.9克 荜澄茄1.2克 升麻 半夏（汤洗）麦蘖面 砂仁 黄耆 白术 陈皮（去白）柴胡 炙甘草 吴茱萸 当归身各1.5克 益智仁2.4克 神曲末6克（炒）麻黄（不去节）9克 草豆蔻仁15克,上为细末，汤浸蒸饼为丸，如梧桐子大。,治客寒犯胃，心胃大痛不可忍。,每服50丸，白开水送下。,《兰室秘藏》卷上,木香/青皮/红花/厚朴/苏木/荜澄茄/升麻/半夏/麦蘖面/砂仁/黄耆/白术/陈皮/柴胡/炙甘草/吴茱萸/当归身/益智仁/神曲末/草豆蔻仁
麻黄调心泄热汤,麻黄4两，生姜4两，细辛5两，子芩5两，茯苓5两，芍药5两，白术2两，桂心1两，生地黄（切）1升。,,调心泄热。主心脉厥大，小肠热，齿龋嗌痛。,麻黄汤（《千金方衍义》卷十三）。《千金方衍义》：心脉厥大，言左寸沉伏而按之益大应指，厥厥动摇。故宜生地黄、黄芩清利伏热，即以麻、桂、姜、辛辛温散结，茯苓、白术填其空以杜火气之复入，芍药为地黄之佐使。,《千金》卷十三,麻黄/生姜/细辛/子芩/茯苓/芍药/白术/桂心/生地黄
麻黄解表汤,麻黄（去根节，用蜜酒炒）、羌活、升麻、葛根、防风、荆芥、牛蒡（炒）、蝉蜕、甘草、桔梗。,,冬月严寒，外感风寒，其疮痘为外邪所遏而不易出者。,麻黄葛根汤（《痘科金镜赋集解》卷三）、麻黄解毒汤（《痘科金镜赋集解》卷六）。,《痘疹全书》卷上,麻黄/羌活/升麻/葛根/防风/荆芥/牛蒡/蝉蜕/甘草/桔梗
麻黄解肌汤,麻黄（去根节，陈者佳）甘草 升麻 赤芍药 石膏各等分,上药为末。,治伤寒头痛，项强急，恶寒发热，腰痛，四肢烦疼而无汗者。,每服6克，用水300毫升，入杏仁7个，去尖碎之，同煎至160毫升，去滓温服。用衣被覆盖，汗出即愈。,《元和纪用经》,麻黄/甘草/升麻/赤芍药/石膏
麻黄解毒汤,麻黄、升麻、防风、酒芍、酒柏、玄参、甘草、牛蒡、人参、石膏、木通、连翘。,,痘疮，痘紫黑陷。,《种痘新书》有黄芩，无酒芍。,《痘疹仁端录》卷十,麻黄/升麻/防风/酒芍/酒柏/玄参/甘草/牛蒡/人参/石膏/木通/连翘
麻黄蝎梢散,麻黄（去根节）半两，蝎梢14个。,上锉碎。用薄荷叶遍裹，更用纸裹了，于水中蘸湿，慢火中煨纸及叶干透，取出为末。,小儿风痫发搐。,每服半钱，金银薄荷汤调下，不拘时候。,《卫生总微》卷五,麻黄/蝎梢
麻黄蝉蜕汤,麻黄6克 蝉蜕9克 槐花6克 黄连3克 浮萍9克 甘草3克,,祛风散寒止痒。治荨麻疹。外感风寒，疹出色白，碎小微红，冷时发作，遇热则轻，畏风，苔薄白，脉浮紧。,水煎服。,《中医皮肤病学简编》,麻黄/蝉蜕/槐花/黄连/浮萍/甘草
麻黄蛇床子粉,麻黄根31g，蛇床子31g，牡蛎31g，炉甘石31g，干姜31g。,上为细粉。,多汗症，痱子，荨麻疹。,外扑。,《中医皮肤病学简编》,麻黄根/蛇床子/牡蛎/炉甘石/干姜
